region,year,month,variable,value
LIMA,1990,Jan,pr,1.5890662
LIMA,1990,Jan,tmmx,26.063233150000002
LIMA,1990,Feb,pr,3.2791527
LIMA,1990,Feb,tmmx,26.58641166
LIMA,1990,Mar,pr,2.7756678
LIMA,1990,Mar,tmmx,26.254858510000005
LIMA,1990,Apr,pr,1.1626963
LIMA,1990,Apr,tmmx,25.31810347
LIMA,1990,May,pr,0.7044098
LIMA,1990,May,tmmx,23.46419671
LIMA,1990,Jun,pr,0.9811045
LIMA,1990,Jun,tmmx,21.581026120000004
LIMA,1990,Jul,pr,0.0560488
LIMA,1990,Jul,tmmx,20.001489520000003
LIMA,1990,Aug,pr,0.8545588
LIMA,1990,Aug,tmmx,19.890719920000002
LIMA,1990,Sep,pr,2.5878755
LIMA,1990,Sep,tmmx,20.724628690000003
LIMA,1990,Oct,pr,0.1334752
LIMA,1990,Oct,tmmx,22.21610868
LIMA,1990,Nov,pr,0.6297219
LIMA,1990,Nov,tmmx,23.73626789
LIMA,1990,Dec,pr,1.6436304
LIMA,1990,Dec,tmmx,25.608782989999998
LIMA,1991,Jan,pr,0.8159919
LIMA,1991,Jan,tmmx,26.18243053
LIMA,1991,Feb,pr,0.5136373
LIMA,1991,Feb,tmmx,26.72844028
LIMA,1991,Mar,pr,2.7168604
LIMA,1991,Mar,tmmx,27.24149274
LIMA,1991,Apr,pr,0.910468
LIMA,1991,Apr,tmmx,25.638851849999998
LIMA,1991,May,pr,0.1737536
LIMA,1991,May,tmmx,23.0411013
LIMA,1991,Jun,pr,1.0033009
LIMA,1991,Jun,tmmx,21.19102022
LIMA,1991,Jul,pr,0.6235375
LIMA,1991,Jul,tmmx,20.375869870000002
LIMA,1991,Aug,pr,1.3775311
LIMA,1991,Aug,tmmx,19.841639330000003
LIMA,1991,Sep,pr,7.5516042
LIMA,1991,Sep,tmmx,20.99643166
LIMA,1991,Oct,pr,0.0108586
LIMA,1991,Oct,tmmx,22.236131900000004
LIMA,1991,Nov,pr,0.3988053
LIMA,1991,Nov,tmmx,23.53019854
LIMA,1991,Dec,pr,1.4933431
LIMA,1991,Dec,tmmx,25.608013130000003
LIMA,1992,Jan,pr,0.540371
LIMA,1992,Jan,tmmx,27.26806387
LIMA,1992,Feb,pr,0.0468883
LIMA,1992,Feb,tmmx,27.7753156
LIMA,1992,Mar,pr,0.0456775
LIMA,1992,Mar,tmmx,28.61570475
LIMA,1992,Apr,pr,0.8911805
LIMA,1992,Apr,tmmx,27.1244511
LIMA,1992,May,pr,0
LIMA,1992,May,tmmx,24.48759189
LIMA,1992,Jun,pr,0.3555186
LIMA,1992,Jun,tmmx,21.56731616
LIMA,1992,Jul,pr,2.530589
LIMA,1992,Jul,tmmx,19.940418960000002
LIMA,1992,Aug,pr,3.3488321
LIMA,1992,Aug,tmmx,20.032252260000003
LIMA,1992,Sep,pr,0
LIMA,1992,Sep,tmmx,20.7750498
LIMA,1992,Oct,pr,0
LIMA,1992,Oct,tmmx,22.10023881
LIMA,1992,Nov,pr,0.3988053
LIMA,1992,Nov,tmmx,23.416805780000004
LIMA,1992,Dec,pr,0.1415591
LIMA,1992,Dec,tmmx,25.10308038
LIMA,1993,Jan,pr,1.7098746
LIMA,1993,Jan,tmmx,26.130050340000004
LIMA,1993,Feb,pr,0.0495463
LIMA,1993,Feb,tmmx,27.497742770000002
LIMA,1993,Mar,pr,0.1001705
LIMA,1993,Mar,tmmx,27.198123070000005
LIMA,1993,Apr,pr,1.5514874
LIMA,1993,Apr,tmmx,26.07180457
LIMA,1993,May,pr,1.1731186
LIMA,1993,May,tmmx,23.80336054
LIMA,1993,Jun,pr,0
LIMA,1993,Jun,tmmx,21.893869570000003
LIMA,1993,Jul,pr,2.5340806
LIMA,1993,Jul,tmmx,21.04366365
LIMA,1993,Aug,pr,1.0054179
LIMA,1993,Aug,tmmx,20.76227146
LIMA,1993,Sep,pr,5.6267753
LIMA,1993,Sep,tmmx,21.07086181
LIMA,1993,Oct,pr,3.2552085
LIMA,1993,Oct,tmmx,22.77569858
LIMA,1993,Nov,pr,0.4020122
LIMA,1993,Nov,tmmx,23.476493540000003
LIMA,1993,Dec,pr,2.9914127
LIMA,1993,Dec,tmmx,25.10874312
LIMA,1994,Jan,pr,1.6980884
LIMA,1994,Jan,tmmx,26.487708140000002
LIMA,1994,Feb,pr,3.046044
LIMA,1994,Feb,tmmx,27.44037345
LIMA,1994,Mar,pr,3.7780855
LIMA,1994,Mar,tmmx,27.180514140000003
LIMA,1994,Apr,pr,1.5599055
LIMA,1994,Apr,tmmx,26.009110399999997
LIMA,1994,May,pr,0
LIMA,1994,May,tmmx,23.476497300000002
LIMA,1994,Jun,pr,0
LIMA,1994,Jun,tmmx,21.217003520000002
LIMA,1994,Jul,pr,0.6235375
LIMA,1994,Jul,tmmx,20.52859291
LIMA,1994,Aug,pr,0.1216662
LIMA,1994,Aug,tmmx,20.2215463
LIMA,1994,Sep,pr,2.0110385
LIMA,1994,Sep,tmmx,21.570547700000002
LIMA,1994,Oct,pr,8.7376809
LIMA,1994,Oct,tmmx,22.753395440000002
LIMA,1994,Nov,pr,0.1024431
LIMA,1994,Nov,tmmx,23.73200405
LIMA,1994,Dec,pr,6.3355854
LIMA,1994,Dec,tmmx,25.761937870000004
LIMA,1995,Jan,pr,0
LIMA,1995,Jan,tmmx,27.18254114
LIMA,1995,Feb,pr,0.0406825
LIMA,1995,Feb,tmmx,27.30034083
LIMA,1995,Mar,pr,9.2267646
LIMA,1995,Mar,tmmx,27.020547699999998
LIMA,1995,Apr,pr,1.0905791
LIMA,1995,Apr,tmmx,25.91163208
LIMA,1995,May,pr,0
LIMA,1995,May,tmmx,23.34278291
LIMA,1995,Jun,pr,0.0010605
LIMA,1995,Jun,tmmx,21.519479020000002
LIMA,1995,Jul,pr,0.6235375
LIMA,1995,Jul,tmmx,20.697811100000003
LIMA,1995,Aug,pr,0.5946694
LIMA,1995,Aug,tmmx,20.71345934
LIMA,1995,Sep,pr,3.3854552
LIMA,1995,Sep,tmmx,21.323706740000002
LIMA,1995,Oct,pr,0.3551736
LIMA,1995,Oct,tmmx,22.3904948
LIMA,1995,Nov,pr,0.2598236
LIMA,1995,Nov,tmmx,23.766811020000002
LIMA,1995,Dec,pr,0.2875265
LIMA,1995,Dec,tmmx,25.44283915
LIMA,1996,Jan,pr,1.4103149
LIMA,1996,Jan,tmmx,26.20005155
LIMA,1996,Feb,pr,2.6147931
LIMA,1996,Feb,tmmx,27.096914249999998
LIMA,1996,Mar,pr,0.3855948
LIMA,1996,Mar,tmmx,27.06346135
LIMA,1996,Apr,pr,1.6102156
LIMA,1996,Apr,tmmx,25.54429578
LIMA,1996,May,pr,0
LIMA,1996,May,tmmx,23.31736516
LIMA,1996,Jun,pr,0.8405872
LIMA,1996,Jun,tmmx,20.71835329
LIMA,1996,Jul,pr,1.3962749
LIMA,1996,Jul,tmmx,19.79066032
LIMA,1996,Aug,pr,0.4691291
LIMA,1996,Aug,tmmx,20.148336110000002
LIMA,1996,Sep,pr,0.6202983
LIMA,1996,Sep,tmmx,21.11699291
LIMA,1996,Oct,pr,1.5781392
LIMA,1996,Oct,tmmx,22.68861855
LIMA,1996,Nov,pr,0.0580221
LIMA,1996,Nov,tmmx,23.2699804
LIMA,1996,Dec,pr,0.1662886
LIMA,1996,Dec,tmmx,25.40048313
LIMA,1997,Jan,pr,1.0687841
LIMA,1997,Jan,tmmx,26.276884180000003
LIMA,1997,Feb,pr,2.2984912
LIMA,1997,Feb,tmmx,27.632029160000002
LIMA,1997,Mar,pr,1.4680565
LIMA,1997,Mar,tmmx,27.86105619
LIMA,1997,Apr,pr,0.4369708
LIMA,1997,Apr,tmmx,26.568262540000003
LIMA,1997,May,pr,0.5068475
LIMA,1997,May,tmmx,25.19402462
LIMA,1997,Jun,pr,0
LIMA,1997,Jun,tmmx,22.955016240000003
LIMA,1997,Jul,pr,0.0049064
LIMA,1997,Jul,tmmx,23.00601632
LIMA,1997,Aug,pr,0
LIMA,1997,Aug,tmmx,22.78464534
LIMA,1997,Sep,pr,1.2215011
LIMA,1997,Sep,tmmx,23.00585832
LIMA,1997,Oct,pr,0.0018793
LIMA,1997,Oct,tmmx,24.3228405
LIMA,1997,Nov,pr,0.3988053
LIMA,1997,Nov,tmmx,25.625485680000004
LIMA,1997,Dec,pr,1.3053454
LIMA,1997,Dec,tmmx,28.25761551
LIMA,1998,Jan,pr,3.1148039
LIMA,1998,Jan,tmmx,29.611878410000003
LIMA,1998,Feb,pr,6.4890743
LIMA,1998,Feb,tmmx,30.00921739
LIMA,1998,Mar,pr,51.9243496
LIMA,1998,Mar,tmmx,29.86229831
LIMA,1998,Apr,pr,1.4814415
LIMA,1998,Apr,tmmx,27.95265028
LIMA,1998,May,pr,0
LIMA,1998,May,tmmx,25.230663540000002
LIMA,1998,Jun,pr,0.2587645
LIMA,1998,Jun,tmmx,22.320726640000004
LIMA,1998,Jul,pr,1.3962749
LIMA,1998,Jul,tmmx,21.190016110000002
LIMA,1998,Aug,pr,1.0054179
LIMA,1998,Aug,tmmx,20.73296346
LIMA,1998,Sep,pr,0
LIMA,1998,Sep,tmmx,21.025052080000002
LIMA,1998,Oct,pr,0.0012793
LIMA,1998,Oct,tmmx,22.16835329
LIMA,1998,Nov,pr,0.3988053
LIMA,1998,Nov,tmmx,23.738395840000003
LIMA,1998,Dec,pr,0.1943002
LIMA,1998,Dec,tmmx,25.37320563
LIMA,1999,Jan,pr,0.8607109
LIMA,1999,Jan,tmmx,25.815466350000005
LIMA,1999,Feb,pr,12.9232529
LIMA,1999,Feb,tmmx,27.23893025
LIMA,1999,Mar,pr,3.6316415
LIMA,1999,Mar,tmmx,27.02173115
LIMA,1999,Apr,pr,1.2612318
LIMA,1999,Apr,tmmx,25.51695613
LIMA,1999,May,pr,0.0019089
LIMA,1999,May,tmmx,22.479901870000003
LIMA,1999,Jun,pr,0
LIMA,1999,Jun,tmmx,20.490367680000002
LIMA,1999,Jul,pr,0.2932276
LIMA,1999,Jul,tmmx,19.373955350000003
LIMA,1999,Aug,pr,0
LIMA,1999,Aug,tmmx,19.618982740000003
LIMA,1999,Sep,pr,0.4970212
LIMA,1999,Sep,tmmx,20.34661557
LIMA,1999,Oct,pr,0
LIMA,1999,Oct,tmmx,21.771129350000002
LIMA,1999,Nov,pr,0.3988053
LIMA,1999,Nov,tmmx,23.25104706
LIMA,1999,Dec,pr,0
LIMA,1999,Dec,tmmx,24.98418651
LIMA,2000,Jan,pr,0.003207
LIMA,2000,Jan,tmmx,25.97759162
LIMA,2000,Feb,pr,95.8018176
LIMA,2000,Feb,tmmx,27.54596223
LIMA,2000,Mar,pr,0.0139273
LIMA,2000,Mar,tmmx,27.382602090000002
LIMA,2000,Apr,pr,1.650102
LIMA,2000,Apr,tmmx,26.12994698
LIMA,2000,May,pr,0.2002242
LIMA,2000,May,tmmx,22.85367828
